dataset,variant,model,aic,objective,n_params,mixture_proportion,params_json,source_file,nominal_ratio
BF_11,point,sto,25294.29600968159,12635.148004840796,12,0.3043482033838245,"[0.3043482034, 0.7596010631, 0.7111420584, 0.878, 0.313473555, 2.2228175421, 1.0, 0.94, 0.878, 5.5561857614, 20.0, 78.5939987454]",BF_11.mat,1:1
BF_11,point,dyn,26300.14197859085,13138.070989295426,12,0.36418813027110497,"[0.3641881303, 0.1261211448, 0.0799237313, 0.878, 0.6703527951, 1.2595881623, 0.3542078154, 0.2942078154, 0.878, 7.9144475877, 4.0450868546, 64.9555988404]",BF_11.mat,1:1
BF_11,point,hl,28763.01577235812,14370.50788617906,11,,"[0.0507565629, 0.878, 0.6714274742, 0.8824803579, 0.3411371275, 0.06, 0.878000003, 7.7683587801, 4.1485257105, 348.0096072133, 277.7158407781]",BF_11.mat,1:1
BF_12,point,sto,27310.877975343104,13643.438987671552,12,0.2751786688382053,"[0.2751786688, 1.0, 0.94, 0.878, 1.8372375359, 20.0, 1.0, 0.94, 0.9874184535, 4.3301359373, 20.0, 100.0]",BF_12.mat,1:2
BF_12,point,dyn,26815.774327661285,13395.887163830643,12,0.23244030483067288,"[0.2324403048, 0.4154947427, 0.3554947427, 0.878, 0.7816868734, 2.0388486641, 0.4297796711, 0.3697796711, 0.878, 6.7792731228, 5.743738083, 88.1664684358]",BF_12.mat,1:2
BF_12,point,hl,30817.40540617716,15397.70270308858,11,,"[0.06, 0.8780000001, 0.6510782365, 1.9745406673, 0.1764437655, 0.06, 0.8780000007, 7.4891211733, 4.3614641646, 596.520497652, 447.1757898561]",BF_12.mat,1:2
BF_21,point,sto,24189.557148710937,12082.778574355469,12,0.6588561850276662,"[0.658856185, 1.0, 0.9558827255, 0.8891948441, 0.3930853074, 1.5847959237, 1.0, 0.94, 0.9851981652, 4.5921796469, 20.0, 100.0]",BF_21.mat,2:1
BF_21,point,dyn,24064.3744936362,12020.1872468181,12,0.6568953619023179,"[0.6568953619, 0.6655885733, 0.6263043658, 0.9006055456, 0.4164509732, 1.3802609412, 0.2656059415, 0.2056059415, 0.9780984807, 4.6173819392, 8.1037946542, 27.2653377069]",BF_21.mat,2:1
BF_21,point,hl,28249.03905394655,14113.519526973276,11,,"[0.0393573409, 0.8780000003, 0.4752683407, 1.3524129529, 0.6382110484, 0.06, 0.9859283719, 3.9460839364, 19.9998919166, 353.187282135, 199.2277486862]",BF_21.mat,2:1
BF_21,new,sto,24184.980030039933,12080.490015019966,12,0.6270621569284747,"[0.6270621569, 1.0, 0.956286025, 0.8805306549, 0.483825255, 1.2879351996, 1.0, 0.94, 0.9853924339, 5.6314152815, 15.5561042395, 100.0]",BF_21_new.mat,2:1
