dataset,variant,model,quantity,ci_low,ci_high,ci_width,source_file,nominal_ratio
BF_11,ci_500c,sto,p,0.23484229974090953,0.34546488257418195,0.11062258283327242,CI_BF11_500c.mat,1:1
BF_11,ci_500c,sto,GR1,0.03390745079110029,0.4679058753106389,0.4339984245195386,CI_BF11_500c.mat,1:1
BF_11,ci_500c,sto,GR2,4.670089234625921,4.821513281603743,0.15142404697782208,CI_BF11_500c.mat,1:1
BF_11,ci_500c,dyn,p,0.3163939412161408,0.40665034757754803,0.09025640636140725,CI_BF11_500c.mat,1:1
BF_11,ci_500c,dyn,GR1,0.38258863437839374,0.9742190895477764,0.5916304551693826,CI_BF11_500c.mat,1:1
BF_11,ci_500c,dyn,GR2,3.508262018447229,4.492866726255353,0.9846047078081241,CI_BF11_500c.mat,1:1
BF_11,ci_500c,hl,p,0.29199401339205466,0.3883696453425073,0.09637563195045262,CI_BF11_500c.mat,1:1
BF_11,ci_500c,hl,GR1,0.25337944636218723,0.9774734781856571,0.7240940318234699,CI_BF11_500c.mat,1:1
BF_11,ci_500c,hl,GR2,3.703446189338702,4.472917375845873,0.7694711865071713,CI_BF11_500c.mat,1:1
BF_12,ci,sto,p,0.23027465726524132,0.5681525537700937,0.33787789650485234,CI_BF12.mat,1:2
BF_12,ci,sto,GR1,0.22374373554204566,4.238060866159592,4.014317130617546,CI_BF12.mat,1:2
BF_12,ci,sto,GR2,3.8563761326844226,4.825519869426216,0.9691437367417937,CI_BF12.mat,1:2
BF_12,ci,dyn,p,0.19278912435504553,0.3169432646018222,0.12415414024677668,CI_BF12.mat,1:2
BF_12,ci,dyn,GR1,0.501130769584658,1.4588902492118179,0.9577594796271599,CI_BF12.mat,1:2
BF_12,ci,dyn,GR2,4.163892878299073,4.816098506641407,0.6522056283423341,CI_BF12.mat,1:2
BF_12,ci,hl,p,0.11685761232686043,0.2734807675556221,0.1566231552287617,CI_BF12.mat,1:2
BF_12,ci,hl,GR1,0.29555531358570797,1.5339461477758651,1.2383908341901573,CI_BF12.mat,1:2
BF_12,ci,hl,GR2,3.8994414683125194,4.626329503022773,0.7268880347102535,CI_BF12.mat,1:2
BF_12,ci_500c,sto,p,0.2153863284190459,0.34546496821537875,0.13007863979633286,CI_BF12_500c.mat,1:2
BF_12,ci_500c,sto,GR1,0.40852406249237316,1.8958157883877822,1.487291725895409,CI_BF12_500c.mat,1:2
BF_12,ci_500c,sto,GR2,3.8572150929573614,4.81978691404338,0.9625718210860188,CI_BF12_500c.mat,1:2
BF_12,ci_500c,dyn,p,0.19067198662544316,0.3169386923782773,0.12626670575283416,CI_BF12_500c.mat,1:2
BF_12,ci_500c,dyn,GR1,0.5014001246697437,1.4576128065194311,0.9562126818496874,CI_BF12_500c.mat,1:2
BF_12,ci_500c,dyn,GR2,4.163915060854769,4.8160950729100005,0.6521800120552319,CI_BF12_500c.mat,1:2
BF_12,ci_500c,hl,p,0.11685761232686043,0.27348076538161425,0.15662315305475383,CI_BF12_500c.mat,1:2
BF_12,ci_500c,hl,GR1,0.29555531358570797,1.5339463073864523,1.2383909938007442,CI_BF12_500c.mat,1:2
BF_12,ci_500c,hl,GR2,3.8994414683125194,4.626329403027616,0.7268879347150965,CI_BF12_500c.mat,1:2
BF_21,ci,sto,p,0.6050129412717722,0.6708540004450994,0.06584105917332717,CI_BF21.mat,2:1
BF_21,ci,sto,GR1,0.3457547924301759,0.438446785379612,0.09269199294943614,CI_BF21.mat,2:1
BF_21,ci,sto,GR2,3.747270011001195,4.8173689220613305,1.0700989110601355,CI_BF21.mat,2:1
BF_21,ci,dyn,p,0.6324213198144201,0.6841409626044089,0.05171964278998886,CI_BF21.mat,2:1
BF_21,ci,dyn,GR1,0.3677888949026794,0.4659083723228849,0.09811947742020549,CI_BF21.mat,2:1
BF_21,ci,dyn,GR2,3.7626437284305743,4.8154826289427355,1.0528389005121612,CI_BF21.mat,2:1
BF_21,ci,hl,p,0.6119753821234041,0.6681806255883087,0.05620524346490463,CI_BF21.mat,2:1
BF_21,ci,hl,GR1,0.3644032142414778,0.5387828967504961,0.17437968250901825,CI_BF21.mat,2:1
BF_21,ci,hl,GR2,3.7464278526246715,4.666343797101008,0.9199159444763363,CI_BF21.mat,2:1
BF_21,ci_10bd,sto,p,0.5840930262373223,0.6817635914443811,0.09767056520705886,CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,sto,GR1,0.3227805475740129,0.49568313309602224,0.17290258552200932,CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,sto,GR2,3.4852148090216133,4.806824206490446,1.3216093974688325,CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,dyn,p,0.6324332507434242,0.6841418692474805,0.05170861850405639,CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,dyn,GR1,0.3677642885417619,0.46589968984724717,0.09813540130548526,CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,dyn,GR2,3.7625592298242037,4.8154174414408075,1.0528582116166039,CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,hl,p,0.6119754110860158,0.6681806255883087,0.05620521450229288,CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,hl,GR1,0.36440297842436953,0.5387831926679236,0.1743802142435541,CI_BF21_10bd.mat,2:1
BF_21,ci_10bd,hl,GR2,3.746428805860833,4.666344102574829,0.9199152967139961,CI_BF21_10bd.mat,2:1
BF_21,ci_500c,sto,p,0.6108593685197016,0.66609762757064,0.055238259050938376,CI_BF21_500c.mat,2:1
BF_21,ci_500c,sto,GR1,0.3444797398104884,0.42703860239690233,0.08255886258641393,CI_BF21_500c.mat,2:1
BF_21,ci_500c,sto,GR2,3.7831644361601957,4.8168689681248065,1.0337045319646108,CI_BF21_500c.mat,2:1
BF_21,ci_500c,dyn,p,0.6324252761221059,0.684144322063953,0.051719045941847175,CI_BF21_500c.mat,2:1
BF_21,ci_500c,dyn,GR1,0.3677665844079341,0.4658895116226765,0.09812292721474242,CI_BF21_500c.mat,2:1
BF_21,ci_500c,dyn,GR2,3.762578219805963,4.815451656879193,1.05287343707323,CI_BF21_500c.mat,2:1
BF_21,ci_500c,hl,p,0.6119754110860158,0.6681806255883087,0.05620521450229288,CI_BF21_500c.mat,2:1
BF_21,ci_500c,hl,GR1,0.36440297842436953,0.5387831926679236,0.1743802142435541,CI_BF21_500c.mat,2:1
BF_21,ci_500c,hl,GR2,3.746428805860833,4.666344102574829,0.9199152967139961,CI_BF21_500c.mat,2:1
BF_41,ci,sto,p,0.6708539990061675,0.7697253185672605,0.09887131956109296,CI_BF41.mat,4:1
BF_41,ci,sto,GR1,0.38174752984573973,0.5503410801383168,0.1685935502925771,CI_BF41.mat,4:1
BF_41,ci,sto,GR2,4.023692027850645,4.80954107758875,0.785849049738105,CI_BF41.mat,4:1
BF_41,ci,dyn,p,0.7275568377578409,0.7513942281938228,0.023837390435981987,CI_BF41.mat,4:1
BF_41,ci,dyn,GR1,0.38713589906961426,0.4707931158742165,0.08365721680460225,CI_BF41.mat,4:1
BF_41,ci,dyn,GR2,3.848066005364613,4.262884179574642,0.414818174210029,CI_BF41.mat,4:1
BF_41,ci,hl,p,0.7039886760141494,0.7355910622733619,0.03160238625921252,CI_BF41.mat,4:1
BF_41,ci,hl,GR1,0.3521670305668404,0.508387143681212,0.15622011311437156,CI_BF41.mat,4:1
BF_41,ci,hl,GR2,3.8824284546191206,4.4650100130542985,0.5825815584351779,CI_BF41.mat,4:1
BF_41,ci_10bd,sto,p,0.6708539982949218,0.745561901589257,0.07470790329433519,CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,sto,GR1,0.4949118054262605,0.73625298813203,0.24134118270576949,CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,sto,GR2,4.027653379450959,4.806099572093272,0.7784461926423134,CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,dyn,p,0.7256606696391661,0.751399754046256,0.02573908440708994,CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,dyn,GR1,0.38708725995394994,0.47052381206347105,0.08343655210952111,CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,dyn,GR2,3.847990036287787,4.262854483644072,0.41486444735628547,CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,hl,p,0.7039886760141494,0.7355910622733619,0.03160238625921252,CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,hl,GR1,0.3521670305668404,0.508387143681212,0.15622011311437156,CI_BF41_10bd.mat,4:1
BF_41,ci_10bd,hl,GR2,3.8824284546191206,4.4650100130542985,0.5825815584351779,CI_BF41_10bd.mat,4:1
BF_41,ci_500c,sto,p,0.7061965711118052,0.7496882860936213,0.04349171498181603,CI_BF41_500c.mat,4:1
BF_41,ci_500c,sto,GR1,0.37003641586852454,0.5066740933294936,0.1366376774609691,CI_BF41_500c.mat,4:1
BF_41,ci_500c,sto,GR2,3.9977533698948773,4.692435085553771,0.6946817156588936,CI_BF41_500c.mat,4:1
BF_41,ci_500c,dyn,p,0.7275347037163931,0.7513925630119485,0.023857859295555395,CI_BF41_500c.mat,4:1
BF_41,ci_500c,dyn,GR1,0.3870889713916751,0.4707885606902613,0.08369958929858623,CI_BF41_500c.mat,4:1
BF_41,ci_500c,dyn,GR2,3.847967909301349,4.262651921713694,0.41468401241234476,CI_BF41_500c.mat,4:1
BF_41,ci_500c,hl,p,0.7039887334874153,0.7355910995666904,0.031602366079275135,CI_BF41_500c.mat,4:1
BF_41,ci_500c,hl,GR1,0.35216657828082554,0.5083875779532671,0.15622099967244152,CI_BF41_500c.mat,4:1
BF_41,ci_500c,hl,GR2,3.882428701038193,4.46501018487242,0.5825814838342271,CI_BF41_500c.mat,4:1
